Algorithm,Fitness_Mean,Fitness_StdDev,Fitness_Min,Time_Mean_s,Time_StdDev_s
SPSO,24118.232421875,2437.7417857642295,20483.06640625,2.243638586997986,0.04945803801491891
L-DPSO,18841.4193359375,1542.9054237583525,16624.384765625,2.2194949865341185,0.009778599701503849
C-DPSO,21514.1423828125,992.843463195796,20055.439453125,2.1095974683761596,0.013333013501835397
